,Christmas film titles
0,Will You Merry Me?
1,The Christmas Star 
2,The Christmas List
3,"It's Christmas, Carol!"
4,Christmas by medium
5,Northpole 
6,White Christmas 
7,Deck the Halls 
8,I'll Be Home for Christmas 
9,Pocketful of Miracles
10,How the Toys Saved Christmas
11,Six Weeks
12,The Nightmare Before Christmas
13,Trading Places
14,Special Delivery 
15,Batman Returns
16,It Happened on Fifth Avenue
17,The Snowman
18,Serendipity 
19,The Nutcracker and the Four Realms
20,Christmas in Canaan
21,Ms. Scrooge
22,The Nativity 
23,The Dog Who Saved Christmas
24,Christmas in the Highlands 
25,The Christmas Tree 
26,Santa Claus 
27,Three Days 
28,Bad Santa 2
29,The Man Who Invented Christmas 
30,"Bah, Humduck! A Looney Tunes Christmas"
31,Single Santa Seeks Mrs. Claus
32,Lethal Weapon
33,Last Christmas 
34,The Christmas Chronicles
35,A Very Merry Mix-Up
36,The Heart of Christmas
37,Melissa McCarthy
38,Roots: The Gift
39,Candy cane
40,Nutcracker: The Motion Picture
41,Christmas Cupid
42,Mickey's Once Upon a Christmas
43,Comfort and Joy 
44,Nothing like the Holidays
45,"Silent Night, Deadly Night"
46,Dr. Seuss' How the Grinch Stole Christmas 
47,Ziggy's Gift
48,Bugs Bunny's Christmas Carol
49,"Silent Night, Deadly Night Part 2"
50,Elf: Buddy's Musical Christmas
51,A Christmas Prince
52,Christmas in Wonderland
53,"Yes, Virginia, there is a Santa Claus"
54,The Waltons
55,The Holiday
56,Christmas a la Mode 
57,Exit Speed
58,Holiday Affair
59,Tom and Jerry: A Nutcracker Tale
60,Noel 
61,Jingle All the Way
62,Biblical Magi
63,The Family Stone
64,Home for the Holidays 
65,3615 code Père Noël
66,"Nestor, The Long-Eared Christmas Donkey"
67,Borrowed Hearts
68,Home Alone 4
69,A Christmas Wedding
70,A Dog Named Christmas
71,We're No Angels 
72,An Evergreen Christmas
73,"Merry Christmas, Mr. Lawrence"
74,Barbie in the Nutcracker
75,An American Christmas Carol
76,The Night Before 
