	description	price	prime?	rating	url link
0	Chuwi CoreBook Pro Laptop Ultrabook 13 pollici Win 10 Notebook Portatile Intel Core i3-6157U fino a 2,4 GHz 8 GB RAM 256 GB SSD 2160 * 1440 2K, Type-C 2.4G/5G WiFi	459,00	prime	1,0 su 5 stelle	/CoreBook-Pro-Ultrabook-Notebook-Portatile/dp/B08JPMVKKN?dchild=1
1	Laptop da 14 pollici (Intel Celeron a 64 bit, 4 GB di RAM DDR3, 64 GB di eMMC, batteria da 10000 Mah, webcam HD, sistema operativo Windows 10 preinstallato, display IPS 1366 * 768 FHD) Notebook	254,99	prime	2,3 su 5 stelle	/pollici-batteria-operativo-preinstallato-Notebook/dp/B08BHRW3KB?dchild=1
2	KUU XBOOK Notebook Computer Portatile 14,1 Pollice, PC Portatile da Intel Celeron J4115, Schermo HD 1920 x 1080 IPS, Windows 10 Notebook ultrasottile con cornice stretta(8GB RAM+512GB ROM)	no price available	not prime	3,5 su 5 stelle	No url Available
3	"Acer Aspire 5 A515-54-P1VY Computer portatile Argento 39,6 cm (15.6"") 1920 x 1080 Pixel Intel Pentium Gold 8 GB DDR4 256 GB SSD Wi-Fi 6, Windows 10 Home S , TASTIERA TEDESCA"	562,91	prime	3,0 su 5 stelle	/Acer-A515-54-P1VY-Computer-portatile-TASTIERA/dp/B08C7GKP2P?dchild=1
4	"HP 255 G7 Computer portatile Nero 39,6 cm (15.6"") 1366 x 768 Pixel AMD Athlon Silver 4 GB DDR4-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) FreeDOS"	439,00	prime	no vote available	/HP-Computer-portatile-DDR4-SDRAM-802-11ac/dp/B08L6F9427?dchild=1
5	"Acer Aspire 1 A114-32-C2A6 Notebook con Processore Intel Celeron N4020, Ram 4 GB DDR4, eMMC 64 GB, Display 14"" HD LED LCD, Scheda Grafica Intel UHD 600, Microsoft 365, Windows 10 Home in S Mode, Nero"	279,00	prime	4,4 su 5 stelle	No url Available
6	"Acer Chromebook 314 CB314-1H-C2W1 Notebook, Pc Portatile con Processore Intel Celeron N4000, Ram 4GB DDR4, eMMC 64 GB, Display 14"" Full HD LED LCD, Scheda Grafica Intel, Chrome OS, Silver, [CB]"	349,00	prime	4,3 su 5 stelle	/Acer-Chromebook-CB314-1H-C2W1-Portatile-Processore/dp/B0855696F5?dchild=1
7	HUAWEI MateBook 13 Laptop, FullView Display 2K da 13 Pollici, AMD Ryzen 5 3500U, 8GB RAM, 512GB SSD, Windows 10 Home, Multi-screen Collaboration, Fingerprint Unlock, Fast Charging, Grigio (Space Grey)	799,00	prime	4,3 su 5 stelle	No url Available
8	"Computer portatile Acer A315-56-3804 nero Intel Core i3-1005G1 8 GB 256 GB SSD Intel HD Graphics 15,6"" FHD Mate WIN10 in modalità S"	526,19	prime	1,5 su 5 stelle	/Computer-portatile-Acer-A315-56-3804-i3-1005G1/dp/B08B4SXCJ1?dchild=1
9	Easy to Learn, Hard to Master - The Fate of Atari	no price available	not prime	4,5 su 5 stelle	No url Available
10	BMAX Y13 Notebook 2 in 1 Touchscreen Convertible Laptop 13.3 pollici 1920x1080 FHD Blacklit Keyboard (Intel Quad Core N4120, 8GB RAM, 256GB SSD, Windows 10 Home) Type C	449,00	not prime	4,1 su 5 stelle	/Y13-Notebook-Convertible-Touchscreen-1920x1080/dp/B07XT5ZSJD?dchild=1
11	"HUAWEI MateBook D 14"" Notebook Portatile, Processore AMD Ryzen 5, 8 GB RAM, 512 GB SSD, Schermo FullView 1080P FHD, Sensore Impronte Digitali, Windows 10 Home, Laptop, Grigio"	no price available	not prime	4,5 su 5 stelle	No url Available
12	"HP - PC Chromebook 14b-ca0000nl Convertibile, Intel Celeron N4000, RAM 4 GB, eMMC 64 GB, Sistema Operativo Chrome OS, Google Play Store, Schermo Touch FHD 14"", Bang&Olufsen, USB-C, Argento [CB]"	449,99	prime	4,2 su 5 stelle	/HP-Chromebook-14b-ca0000nl-Convertibile-Operativo/dp/B088C6BXWZ?dchild=1
13	PC DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/500GB/DVD+RW/WIN 10 PRO (Ricondizionato)	167,99	not prime	4,3 su 5 stelle	/DELL-Intel-3-20Ghz-500GB-Ricondizionato/dp/B07RK9N3WM?dchild=1
14	"Acer Aspire 3 A315-57G-742A Pc Portatile, Notebook con Processore Intel Core i7-1065G7, Ram 8 GB DDR4, 512 GB PCIe NVMe SSD, Display 15.6"" FHD LED LCD, NVIDIA GeForce MX330 2 GB, Windows 10 Home"	899,00	prime	4,5 su 5 stelle	/Acer-A315-57G-742A-Portatile-Processore-i7-1065G7/dp/B08D6W7ZPY?dchild=1
15	"ASUS Chromebook C423NA-EB0287, Notebook in alluminio con Monitor 14"" FHD Anti-Glare, Intel Celeron N3350, RAM 4GB LPDDR4, 64G eMMC, Sistema operativo Chrome, Argento [CB]"	315,00	not prime	3,8 su 5 stelle	/ASUS-Chromebook-C423NA-EB0287-alluminio-Anti-Glare/dp/B086TLPRXF?dchild=1
16	COMPUTER FISSO INTEL CORE i7 QUAD CORE - RAM 16 GB - SSD 240 - HDD 1TB - SCHEDA VIDEO DEDICATA 2 GB - LICENZA ORIGINALE MICROSOFT WINDOWS 10 PRO - MASTERIZZATORE DVD - PC DESKTOP	479,00	prime	4,3 su 5 stelle	/COMPUTER-FISSO-INTEL-CORE-QUAD/dp/B088FX7Z2V?dchild=1
17	HP - PC ProBook 440 G7 Notebook, Intel Core i5-10210U, RAM 8 GB, SSD 512 GB, NVIDIA GeForce MX250 2 GB, Windows 10 Pro, Schermo Touch 14” FHD IPS, Lettore Impronte Digitali, HDMI, RJ-45, Argento	779,99	prime	4,1 su 5 stelle	/HP-Notebook-i5-10210U-Impronte-Digitali/dp/B08DFDYCSS?dchild=1
18	"HP - PC 14-ds0014nl Stream Notebook, AMD A4-9120e, RAM 4 GB, eMMC 64 GB, Windows 10 Home S, Schermo 14"" HD SVA Antiriflesso, Office 365 Incluso 1 Anno, USB, HDMI, RJ45, Webcam, Nero"	no price available	not prime	3,8 su 5 stelle	No url Available
19	Notebook SSD slim Acer Intel i3 10 th, RAM 12 GB, SSD 512GB m2, display 15.6 Full hd led, Svga Intel HD 600, 3 USB, Wi-Fi, hdmi, BT, Win 10 Pro, Libre Office, Pronto all'Uso, Garanzia Italia	689,77	prime	4,6 su 5 stelle	No url Available
20	Mini PC, 8GB DDR3+256GB SSD Windows 10 Pro Intel Celeron J3455 (fino a 2,3GHz) Quad-Core CPU Mini Computer Desktop con Doppia HDMI @4K HD,2.4G+5G Dual-Band WiFi,Gigabit Ethernet,BT 4.2	249,90	prime	4,4 su 5 stelle	/Windows-Quad-Core-Computer-Dual-Band-Ethernet/dp/B08L6JQD1Y?dchild=1
21	"MSI Modern 14 A10M-1067XIT, Notebook 14"" FHD,Notebook 14"" FHD, Intel Core I7-10510U, 8GB DDR4 2666MHz, 256GB SSD M.2 PCIe, No-OS"	749,00	prime	4,1 su 5 stelle	/MSI-A10M-1067XIT-Notebook-I7-10510U-2666MHz/dp/B08CB1P91L?dchild=1
22	"Lenovo IdeaPad 3 Chromebook Notebook, Display 11.6"" HD, Processore Intel Celeron N4000, 32GB eMMC, 4GB RAM, Chrome OS, Onyx Black"	259,99	prime	3,5 su 5 stelle	/Lenovo-IdeaPad-Chromebook-Notebook-Processore/dp/B08D9R3849?dchild=1
23	Singularity	no price available	not prime	3,8 su 5 stelle	No url Available
24	"ASUS Chromebook C434TA-AI0367, Notebook Convertibile in alluminio con Monitor 14"" FHD Touchscreen Glossy, Intel Core m3-8100Y, RAM 8GB LPDDR3, 128G eMMC, Sistema operativo Chrome, Argento"	699,00	prime	5,0 su 5 stelle	/ASUS-Chromebook-C434TA-AI0367-Convertibile-Touchscreen/dp/B08958MZLD?dchild=1
25	"Notebook Lenovo SSD Cpu AMD A4, Display Hd Led da 15,6"" Ram 8Gb DDR4 , SSD 256GB Nvme, Wifi, Webcam, Bt, 3 usb, versione entry level, Win10 Pro, Pronto All'uso immediato, Garanzia Italia 2 Anni"	no price available	not prime	4,4 su 5 stelle	No url Available
26	Hp 255 G7 Notebook HP Display da 15.6”, CPU AMD A4-9125, Ram 4Gb DDR4 SSD M.2 256 Gb, Radeon R3, Pc portatile HP, HDMI, DVD CD RW, Wi Fi,Bluetooth, Windows 10 Professional	no price available	not prime	4,3 su 5 stelle	No url Available
27	PC DESKTOP COMPUTER FISSO CON LICENZA WINDOWS 10 pro Talloncino con seriale INTEL QUAD CORE RAM 8GB DDR HD1TB DVD/WIFI/HDMI FISSO COMPLETO ASSEMBLATO	249,99	not prime	4,1 su 5 stelle	No url Available
28	2020 NUOVO ARRIVO CHUWI HeroBook Pro 14,1 pollici 1920 * 1080 Schermo IPS Processore Intel N4000 DDR4 8 GB 256 GB SSD Laptop Windows 10(Adesivo tastiera in lingua italiana gratuito)	319,00	not prime	5,0 su 5 stelle	/HeroBook-Processore-tastiera-italiana-gratuito/dp/B087LY7M3B?dchild=1
29	PC Computer Desktop Gaming Entry Level Fujitsu Esprimo P710 Windows 10 Professional Intel Core i5-3470S Memoria Ram 8GB DDR3 Hard Disk 500GB DVD-ROM USB 3.0 GeForce GT710 2GB (Ricondizionato)	199,90	not prime	4,4 su 5 stelle	No url Available
30	"HP - PC Chromebook 14a-na0005nl, Intel Pentium Silver N5000, RAM 4 GB, eMMC 64 GB, Sistema Operativo Chrome OS, Google Play Store, Schermo FHD 14"", Audio Bang&Olufsen, USB-C, Webcam, Argento [CB]"	429,99	prime	5,0 su 5 stelle	/HP-Chromebook-14a-na0005nl-Pentium-Operativo/dp/B087GJY7MK?dchild=1
31	Yizhet Hub USB 3.0 4 Porte Ultrasottile Hub USB con Cavo Esteso da 1M per MacBook Air, Mac PRO/Mini, Windows 10/8.1/8/7/XP, Vista -Trasmissione Dati Alta velocità (5 Gbps)	11,89	not prime	no vote available	/Yizhet-Ultrasottile-MacBook-Trasmissione-velocit%C3%A0/dp/B08KQ2YZBC?dchild=1
32	"Lenovo IdeaPad Flex 5 Notebook Convertibile, Display 14"" Full HD Touch, Processore Intel Core i5-1035G1, 512 GB SSD, RAM 8 GB, Fingerprint, Lenovo Digital Pen, Windows 10, Graphite Grey"	899,99	prime	4,2 su 5 stelle	/Lenovo-Convertibile-Processore-i5-1035G1-Fingerprint/dp/B089NWXD2L?dchild=1
